Date;rain;rainfc.1;rainfc.2;rainfc.3;rainfc.4;rainfc.5;rainfc.6;rainfc.7;rainfc.8;rainfc.9;rainfc.10;rainfc.11;ensmean;enssd
04/01/2000;2.213594362;4.308131839;5.12542684;1.915724359;1.212435546;0.447213599;4.064480255;2.059126009;1.606237861;3.710795071;1.766352147;2.527844903;2.613069857;1.472430803
05/01/2000;1.048808848;1.99999998;1.356466001;1.897366606;1.09087121;1.15325626;1.248999604;0.547722562;4.324349724;2.024845679;1.752141566;2.351595209;1.795237673;0.988349094
06/01/2000;0;3.6124784;0;0.979795884;2.406241889;0.894427206;1.536229126;0;0.316227768;1.89999999;1.280624842;0.141421355;1.187949678;1.131659458
07/01/2000;0;1.979898992;1.449137691;2.729468783;0.199999998;0;0.583095186;0;1.284523246;0;0;1.902629716;0.920795783;0.989620437
08/01/2000;0;3.889730038;0.774596675;2.236067999;3.184336634;0.412310556;4.843552355;2.939387679;0.565685419;0;0.774596675;3.309078377;2.084485673;1.649670057
09/01/2000;0;1.428285657;1.367479423;0;0.316227768;3.641428335;0;4.602173376;2.220360299;0.447213599;0.199999998;0;1.293015314;1.588371028
10/01/2000;0;0;0.836660028;0.793725379;0.812403838;1.581138825;0;2.780287758;0.387298323;0;0;0;0.653774014;0.875692577
11/01/2000;0;0;0.141421355;1.655294534;0;0;1.714642847;1.004987568;0.547722555;0.435889892;0;0;0.49999625;0.667086302
12/01/2000;0;0;0.199999998;0;0.948683313;1.260952009;0;0.655743855;0.141421355;0.447213599;0.360555126;0.412310556;0.402443619;0.412120184
13/01/2000;0;0;1.542724853;0.748331459;0.435889887;0;1.303840485;0;1.449137703;1.228820545;0;0.761577292;0.679120202;0.6282319
14/01/2000;0;1.897366596;1.881488814;0.447213595;0.599999993;1.113552862;0.435889883;1.01488915;1.019803891;0;0.489897947;2.135415679;1.003228946;0.702057597
15/01/2000;0;0;0.141421355;0;0.734846922;0.282842709;0;0.632455534;0;0.141421355;0.316227768;0;0.204474149;0.264592809
16/01/2000;0;1.702938656;2.097617734;0;2.664582504;1.077032939;1.183215965;3.209361247;1.090871221;0;2.046948976;1.341640783;1.492200911;0.997331474
17/01/2000;0;1.37840488;0.793725383;2.032240141;0.346410163;1.204159436;1.788854348;0.489897943;2.561249701;0.360555121;0.685565443;1.609347683;1.204582749;0.738835853
18/01/2000;0;0.734846917;0;1.609347673;1.063014579;0.774596675;0.877496428;1.523154613;1.843908909;1.523154642;0.734846907;2.313006703;1.181579459;0.648272304
19/01/2000;1.549193338;0;0.469041579;0.616441409;1.315294637;0.469041575;1.174733991;0.141421355;0;0;0.244948972;0;0.402811229;0.471717521
20/01/2000;2.097617696;2.90860789;0.640312421;2.740437906;1.048808844;1.54919335;1.389244396;4.045985674;0.818535269;2.765863326;1.878829403;3.206243899;2.090187489;1.10690011
21/01/2000;2.097617696;2.080865221;1.378404872;2.994995834;3.221800775;1.086278039;0.199999998;2.372762106;0.921954442;0.959166317;1.356466012;2.640075763;1.746615398;0.972249021
22/01/2000;1.414213562;0.984885768;1.53622914;0.714142841;1.039230487;0.96953597;1.326649913;1.024695066;3.199999995;0.748331481;1.337908814;0.916515133;1.254374964;0.692241129
23/01/2000;1.303840481;0.974679444;2.408318948;1.039230478;1.964688282;4.211887933;2.209072216;3.255764137;2.774887419;2.683281568;0.911043361;1.664331709;2.190653227;1.0306029
24/01/2000;3.016620626;1.670329314;3.04138123;1.606237846;2.807133771;2.195449859;2.118962003;2.402082448;3.000000016;2.44948975;2.063976749;1.969771576;2.302255869;0.491507601
25/01/2000;3.619392214;2.328089321;3.504283079;3.883297582;3.077336478;2.725802657;2.925747752;2.102379597;3.544009059;2.893095252;2.742261831;2.551470177;2.93434298;0.53906809
26/01/2000;3.376388603;2.934280133;3.475629416;4.365776023;3.144837074;3.371943044;2.599999987;4.05955662;3.152776513;3.986226301;3.455430478;3.619392237;3.46962253;0.519510766
27/01/2000;2;1.431782092;1.791647287;0.96953597;2.076053978;2.211334448;1.743559575;1.14017543;1.315294674;1.232882808;0.948683293;1.352774933;1.473974954;0.42677587
28/01/2000;0;1.403566884;0;0;2.088061311;1.499999986;1.913112645;1.729161632;2.034699001;0.848528152;2.628687959;1.081665401;1.384316634;0.842041712
29/01/2000;0;0;0;2.353720461;0;0;0;0;0;2.366431945;0;0.648074074;0.488020589;0.94552605
